,condition
KT001,PILOT
KT002,PILOT
KT003,PILOT
KT004,PILOT
KT005,PILOT
KT006,PILOT
KT007,PILOT
KT008,PILOT
KT009,PILOT
KT010,PILOT
KT011,PILOT
KT012,PILOT
KT013,PILOT
KT014,PILOT
KT015,PILOT
KT016,PILOT
KT017,PILOT
KT018,PILOT
KT019,PILOT
KT020,PILOT
KT021,PILOT
KT022,PILOT
KT023,PILOT
KT024,PILOT
KT025,PILOT
KT026,PILOT
KT027,PILOT
KT028,PILOT
KT029,PILOT
KT030,PILOT
KT031,PILOT
KT032,PILOT
KT033,PILOT
KT034,PILOT
KT035,PILOT
KT036,PILOT
KT037,PILOT
KT038,PILOT
KT039,PILOT
KT040,PILOT
KT041,PILOT
KT042,PILOT
KT043,PILOT
KT044,PILOT
KT045,PILOT
KT046,PILOT
KT047,LARGERset
KT052,LARGERset
KT055,LARGERset
KT057,LARGERset
KT061,LARGERset
KT062,LARGERset
KT066,LARGERset
KT067,LARGERset
KT068,LARGERset
KT069,LARGERset
KT071,LARGERset
KT073,LARGERset
KT077,LARGERset
KT078,LARGERset
KT079,LARGERset
KT080,LARGERset
KT082,LARGERset
KT083,LARGERset
KT084,LARGERset
KT085,LARGERset
KT086,LARGERset
KT087,LARGERset
KT088,LARGERset
KT090,LARGERset
KT091,LARGERset
KT092,LARGERset
KT093,LARGERset
KT094,LARGERset
KT096,LARGERset
KT097,LARGERset
KT099,LARGERset
KT100,LARGERset
KT104,LARGERset
KT107,LARGERset
KT108,LARGERset
KT112,LARGERset
KT113,LARGERset
KT115,LARGERset
KT117,LARGERset
KT118,LARGERset
KT119,LARGERset
KT120,LARGERset
KT121,LARGERset
KT122,LARGERset
KT123,LARGERset
KT125,LARGERset
KT126,LARGERset
KT131,LARGERset
KT134,LARGERset
KT135,LARGERset
KT136,LARGERset
KT137,LARGERset
KT142,LARGERset
KT146,LARGERset
KT147,LARGERset
KT150,LARGERset
KT151,LARGERset
KT152,LARGERset
KT155,LARGERset
KT156,LARGERset
KT159,LARGERset
KT160,LARGERset
KT161,LARGERset
KT162,LARGERset
KT163,LARGERset
KT164,LARGERset
KT165,LARGERset
KT167,LARGERset
KT168,LARGERset
KT169,LARGERset
KT170,LARGERset
KT172,LARGERset
KT173,LARGERset
KT174,LARGERset
KT175,LARGERset
KT176,LARGERset
KT177,LARGERset
KT178,LARGERset
KT179,LARGERset
KT180,LARGERset
KT181,LARGERset
KT182,LARGERset
KT183,LARGERset
KT184,LARGERset
KT185,LARGERset
KT186,LARGERset
KT187,LARGERset
KT188,LARGERset
KT189,LARGERset
KT190,LARGERset
KT191,LARGERset
KT192,LARGERset
KT193,LARGERset
KT194,LARGERset
KT195,LARGERset
KT196,LARGERset
KT197,LARGERset
KT198,LARGERset
KT199,LARGERset
KT200,LARGERset
KT201,LARGERset
KT202,LARGERset
KT203,LARGERset
KT204,LARGERset
KT205,LARGERset
KT206,LARGERset
KT207,LARGERset
KT208,LARGERset
KT209,LARGERset
KT210,LARGERset
KT211,LARGERset
KT212,LARGERset
KT213,LARGERset
KT214,LARGERset
KT215,LARGERset
KT216,LARGERset
KT217,LARGERset
KT218,LARGERset
KT219,LARGERset
KT220,LARGERset
KT235,LARGERset
KT301,LARGERset
KT302,LARGERset
KT303,LARGERset
KT304,LARGERset
KT305,LARGERset
KT306,LARGERset
KT307,LARGERset
KT308,LARGERset
KT309,LARGERset
KT310,LARGERset
KT311,LARGERset
KT312,LARGERset
KT313,LARGERset
KT314,LARGERset
KT315,LARGERset
KT316,LARGERset
KT317,LARGERset
KT318,LARGERset
KT319,LARGERset
KT321,LARGERset
KT322,LARGERset
KT323,LARGERset
KT324,LARGERset
KT326,LARGERset
KT327,LARGERset
KT328,LARGERset
KT329,LARGERset
KT330,LARGERset
KT331,LARGERset
KT332,LARGERset
KT333,LARGERset
KT334,LARGERset
KT336,LARGERset
KT338,LARGERset
KT339,LARGERset
KT341,LARGERset
KT342,LARGERset
KT343,LARGERset
KT344,LARGERset
KT345,LARGERset
KT346,LARGERset
KT347,LARGERset
KT348,LARGERset
KT349,LARGERset
KT351,LARGERset
KT354,LARGERset
KT356,LARGERset
KT357,LARGERset
KT358,LARGERset
KT361,LARGERset
KT362,LARGERset
KT363,LARGERset
KT364,LARGERset
KT365,LARGERset
KT366,LARGERset
KT367,LARGERset
KT368,LARGERset
KT369,LARGERset
KT370,LARGERset
KT371,LARGERset
KT372,LARGERset
KT373,LARGERset
KT374,LARGERset
KT375,LARGERset
KT376,LARGERset
KT377,LARGERset
